날짜,종가,전일비,시가,고가,저가,거래량,회사명,종목코드
2020-03-13,6000.0,하락  450,5820.0,6190.0,5610.0,223240.0,LS에코에너지,229640
2020-03-16,5910.0,하락  90,6000.0,6190.0,5840.0,197099.0,LS에코에너지,229640
2020-03-17,6050.0,상승  140,5600.0,6150.0,5450.0,156064.0,LS에코에너지,229640
2020-03-18,6100.0,상승  50,6050.0,6550.0,6050.0,129633.0,LS에코에너지,229640
2020-03-19,5540.0,하락  560,6100.0,6380.0,5460.0,186449.0,LS에코에너지,229640
2020-03-20,5770.0,상승  230,5610.0,6050.0,5520.0,129207.0,LS에코에너지,229640
2020-03-23,5750.0,하락  20,5400.0,6080.0,5340.0,183954.0,LS에코에너지,229640
2020-03-24,6000.0,상승  250,5810.0,6030.0,5800.0,112439.0,LS에코에너지,229640
2020-03-25,6160.0,상승  160,6210.0,6240.0,6010.0,119983.0,LS에코에너지,229640
2020-03-26,6230.0,상승  70,6160.0,6350.0,6060.0,92574.0,LS에코에너지,229640
2020-03-27,6230.0,보합0,6350.0,6460.0,6190.0,115498.0,LS에코에너지,229640
2020-03-30,6150.0,하락  80,6150.0,6230.0,5900.0,86933.0,LS에코에너지,229640
2020-03-31,6830.0,상승  680,6250.0,6850.0,6150.0,214469.0,LS에코에너지,229640
2020-04-01,6480.0,하락  350,6610.0,6860.0,6420.0,128467.0,LS에코에너지,229640
2020-04-02,6530.0,상승  50,6480.0,6530.0,6270.0,55411.0,LS에코에너지,229640
2020-04-03,6640.0,상승  110,6550.0,6850.0,6550.0,57048.0,LS에코에너지,229640
2020-04-06,6700.0,상승  60,6640.0,6780.0,6500.0,106532.0,LS에코에너지,229640
2020-04-07,6710.0,상승  10,6800.0,6870.0,6510.0,159505.0,LS에코에너지,229640
2020-04-08,6750.0,상승  40,6650.0,6820.0,6610.0,92009.0,LS에코에너지,229640
2020-04-09,6710.0,하락  40,6870.0,6890.0,6620.0,182387.0,LS에코에너지,229640
2020-04-10,6850.0,상승  140,6770.0,6960.0,6680.0,203946.0,LS에코에너지,229640
2020-04-13,6690.0,하락  160,6890.0,7170.0,6670.0,277358.0,LS에코에너지,229640
2020-04-14,6810.0,상승  120,6740.0,6810.0,6690.0,118190.0,LS에코에너지,229640
2020-04-16,6840.0,상승  30,6740.0,6860.0,6570.0,84373.0,LS에코에너지,229640
2020-04-17,6930.0,상승  90,6880.0,7010.0,6840.0,126440.0,LS에코에너지,229640
2020-04-20,7010.0,상승  80,6860.0,7110.0,6860.0,154979.0,LS에코에너지,229640
2020-04-21,7050.0,상승  40,7300.0,7310.0,6670.0,315934.0,LS에코에너지,229640
2020-04-22,6980.0,하락  70,7050.0,7050.0,6840.0,129328.0,LS에코에너지,229640
2020-04-23,7000.0,상승  20,7000.0,7050.0,6950.0,102934.0,LS에코에너지,229640
2020-04-24,6820.0,하락  180,6980.0,6990.0,6800.0,111682.0,LS에코에너지,229640
2020-04-27,7000.0,상승  180,6830.0,7020.0,6830.0,114359.0,LS에코에너지,229640
2020-04-28,6900.0,하락  100,7010.0,7060.0,6840.0,107038.0,LS에코에너지,229640
2020-04-29,6970.0,상승  70,6900.0,6980.0,6900.0,60394.0,LS에코에너지,229640
2020-05-04,6910.0,하락  60,6900.0,6960.0,6720.0,74668.0,LS에코에너지,229640
2020-05-06,6970.0,상승  60,6990.0,7000.0,6870.0,74775.0,LS에코에너지,229640
2020-05-07,6980.0,상승  10,6990.0,7020.0,6950.0,80045.0,LS에코에너지,229640
2020-05-08,7040.0,상승  60,7040.0,7050.0,6980.0,81528.0,LS에코에너지,229640
2020-05-11,6960.0,하락  80,7070.0,7070.0,6940.0,74847.0,LS에코에너지,229640
2020-05-12,6860.0,하락  100,6970.0,6990.0,6780.0,123949.0,LS에코에너지,229640
2020-05-13,6950.0,상승  90,6880.0,7080.0,6870.0,61823.0,LS에코에너지,229640
2020-05-14,6780.0,하락  170,6970.0,6970.0,6780.0,106700.0,LS에코에너지,229640
2020-05-15,6870.0,상승  90,6810.0,6940.0,6780.0,50596.0,LS에코에너지,229640
2020-05-18,6860.0,하락  10,6950.0,6950.0,6780.0,35113.0,LS에코에너지,229640
2020-05-19,7170.0,상승  310,6960.0,7210.0,6900.0,227551.0,LS에코에너지,229640
2020-05-20,7140.0,하락  30,7190.0,7190.0,7060.0,55940.0,LS에코에너지,229640
2020-05-21,7260.0,상승  120,7180.0,7330.0,7110.0,141854.0,LS에코에너지,229640
2020-05-22,7140.0,하락  120,7280.0,7350.0,7000.0,112093.0,LS에코에너지,229640
2020-05-25,7170.0,상승  30,7140.0,7190.0,6980.0,119434.0,LS에코에너지,229640
2020-05-26,7200.0,상승  30,7240.0,7240.0,7120.0,72796.0,LS에코에너지,229640
2020-05-27,7230.0,상승  30,7180.0,7260.0,7170.0,81029.0,LS에코에너지,229640
2020-05-28,7100.0,하락  130,7280.0,7340.0,7000.0,93522.0,LS에코에너지,229640
2020-05-29,6990.0,하락  110,7050.0,7230.0,6950.0,96176.0,LS에코에너지,229640
2020-06-01,6980.0,하락  10,7000.0,7080.0,6900.0,203685.0,LS에코에너지,229640
2020-06-02,7020.0,상승  40,6950.0,7020.0,6910.0,85386.0,LS에코에너지,229640
2020-06-03,7380.0,상승  360,7140.0,7680.0,7140.0,690429.0,LS에코에너지,229640
2020-06-04,7250.0,하락  130,7460.0,7510.0,7210.0,229558.0,LS에코에너지,229640
2020-06-05,7310.0,상승  60,7350.0,7390.0,7200.0,210103.0,LS에코에너지,229640
2020-06-08,7290.0,하락  20,7470.0,7480.0,7260.0,138786.0,LS에코에너지,229640
2020-06-09,7180.0,하락  110,7290.0,7340.0,7150.0,108226.0,LS에코에너지,229640
2020-06-10,7360.0,상승  180,7210.0,8970.0,7210.0,4166358.0,LS에코에너지,229640
2020-06-11,7230.0,하락  130,7470.0,7490.0,7210.0,735746.0,LS에코에너지,229640
2020-06-12,6940.0,하락  290,6870.0,7070.0,6780.0,472033.0,LS에코에너지,229640
2020-06-15,6600.0,하락  340,6890.0,6930.0,6590.0,352179.0,LS에코에너지,229640
2020-06-16,6870.0,상승  270,6600.0,6890.0,6590.0,211126.0,LS에코에너지,229640
2020-06-17,6750.0,하락  120,6800.0,6890.0,6700.0,157829.0,LS에코에너지,229640
2020-06-18,6730.0,하락  20,6750.0,6800.0,6670.0,132024.0,LS에코에너지,229640
2020-06-19,6690.0,하락  40,6700.0,6770.0,6640.0,115464.0,LS에코에너지,229640
2020-06-22,6670.0,하락  20,6690.0,6730.0,6640.0,68299.0,LS에코에너지,229640
2020-06-23,6660.0,하락  10,6670.0,6740.0,6610.0,126772.0,LS에코에너지,229640
2020-06-24,6690.0,상승  30,6770.0,6770.0,6650.0,114738.0,LS에코에너지,229640
2020-06-25,6590.0,하락  100,6580.0,6650.0,6580.0,79395.0,LS에코에너지,229640
2020-06-26,6590.0,보합0,6670.0,6670.0,6540.0,79750.0,LS에코에너지,229640
2020-06-29,6460.0,하락  130,6520.0,6520.0,6440.0,99781.0,LS에코에너지,229640
2020-06-30,6520.0,상승  60,6540.0,6590.0,6490.0,51348.0,LS에코에너지,229640
2020-07-01,6450.0,하락  70,6610.0,6610.0,6450.0,47210.0,LS에코에너지,229640
2020-07-02,6520.0,상승  70,6460.0,6580.0,6440.0,33110.0,LS에코에너지,229640
2020-07-03,6510.0,하락  10,6550.0,6580.0,6510.0,72197.0,LS에코에너지,229640
2020-07-06,6560.0,상승  50,6540.0,6560.0,6480.0,65829.0,LS에코에너지,229640
2020-07-07,6550.0,하락  10,6620.0,6620.0,6510.0,42491.0,LS에코에너지,229640
2020-07-08,6570.0,상승  20,6520.0,6630.0,6500.0,55207.0,LS에코에너지,229640
2020-07-09,6600.0,상승  30,6610.0,6650.0,6560.0,33991.0,LS에코에너지,229640
2020-07-10,6510.0,하락  90,6580.0,6610.0,6470.0,62537.0,LS에코에너지,229640
2020-07-13,6670.0,상승  160,6490.0,6700.0,6490.0,69089.0,LS에코에너지,229640
2020-07-14,6640.0,하락  30,6620.0,6670.0,6590.0,31617.0,LS에코에너지,229640
2020-07-15,6710.0,상승  70,6660.0,6810.0,6640.0,108679.0,LS에코에너지,229640
2020-07-16,6680.0,하락  30,6710.0,6740.0,6640.0,50062.0,LS에코에너지,229640
2020-07-17,6700.0,상승  20,6730.0,6730.0,6640.0,37117.0,LS에코에너지,229640
2020-07-20,6940.0,상승  240,6790.0,7000.0,6790.0,379476.0,LS에코에너지,229640
2020-07-21,6970.0,상승  30,7020.0,7050.0,6820.0,196731.0,LS에코에너지,229640
2020-07-22,7050.0,상승  80,6970.0,7250.0,6920.0,282282.0,LS에코에너지,229640
2020-07-23,6900.0,하락  150,7040.0,7040.0,6830.0,146361.0,LS에코에너지,229640
2020-07-24,6800.0,하락  100,6900.0,6930.0,6780.0,99690.0,LS에코에너지,229640
2020-07-27,6830.0,상승  30,6820.0,6920.0,6810.0,73836.0,LS에코에너지,229640
2020-07-28,6900.0,상승  70,6900.0,6930.0,6790.0,87453.0,LS에코에너지,229640
2020-07-29,6890.0,하락  10,6930.0,6950.0,6830.0,70225.0,LS에코에너지,229640
2020-07-30,6820.0,하락  70,6970.0,6970.0,6760.0,127680.0,LS에코에너지,229640
2020-07-31,6680.0,하락  140,6880.0,6880.0,6660.0,150622.0,LS에코에너지,229640
2020-08-03,6680.0,보합0,6740.0,6740.0,6600.0,101792.0,LS에코에너지,229640
2020-08-04,6740.0,상승  60,6670.0,6750.0,6650.0,74033.0,LS에코에너지,229640
2020-08-05,6700.0,하락  40,6780.0,6780.0,6650.0,71470.0,LS에코에너지,229640
2020-08-06,6730.0,상승  30,6670.0,6780.0,6670.0,64570.0,LS에코에너지,229640
2020-08-07,6690.0,하락  40,6740.0,6810.0,6670.0,108835.0,LS에코에너지,229640
2020-08-10,7020.0,상승  330,6700.0,7040.0,6700.0,434908.0,LS에코에너지,229640
2020-08-11,6960.0,하락  60,7060.0,7060.0,6890.0,155751.0,LS에코에너지,229640
2020-08-12,6900.0,하락  60,6990.0,7000.0,6850.0,116710.0,LS에코에너지,229640
2020-08-13,6980.0,상승  80,6960.0,7030.0,6910.0,121075.0,LS에코에너지,229640
2020-08-14,6900.0,하락  80,7030.0,7030.0,6840.0,94345.0,LS에코에너지,229640
2020-08-18,6700.0,하락  200,6800.0,6800.0,6670.0,251561.0,LS에코에너지,229640
2020-08-19,6850.0,상승  150,6720.0,6900.0,6700.0,126224.0,LS에코에너지,229640
2020-08-20,6620.0,하락  230,6840.0,6850.0,6600.0,117716.0,LS에코에너지,229640
2020-08-21,6640.0,상승  20,6660.0,6720.0,6540.0,134298.0,LS에코에너지,229640
2020-08-24,6680.0,상승  40,6700.0,6700.0,6550.0,84991.0,LS에코에너지,229640
2020-08-25,6830.0,상승  150,6710.0,6840.0,6650.0,86200.0,LS에코에너지,229640
2020-08-26,6710.0,하락  120,6880.0,6880.0,6660.0,61668.0,LS에코에너지,229640
2020-08-27,6630.0,하락  80,6700.0,6750.0,6610.0,82056.0,LS에코에너지,229640
2020-08-28,6670.0,상승  40,6620.0,6720.0,6610.0,129635.0,LS에코에너지,229640
2020-08-31,6860.0,상승  190,6710.0,7020.0,6670.0,223538.0,LS에코에너지,229640
2020-09-01,6940.0,상승  80,6950.0,7040.0,6850.0,144022.0,LS에코에너지,229640
2020-09-02,6880.0,하락  60,6940.0,7030.0,6840.0,79270.0,LS에코에너지,229640
2020-09-03,6920.0,상승  40,6880.0,6950.0,6830.0,83294.0,LS에코에너지,229640
2020-09-04,7180.0,상승  260,6810.0,7620.0,6750.0,1759098.0,LS에코에너지,229640
2020-09-07,7600.0,상승  420,7600.0,8490.0,7580.0,3274121.0,LS에코에너지,229640
2020-09-08,7320.0,하락  280,7750.0,7830.0,7300.0,669386.0,LS에코에너지,229640
2020-09-09,7250.0,하락  70,7240.0,7460.0,7150.0,345006.0,LS에코에너지,229640
2020-09-10,7300.0,상승  50,7260.0,7440.0,7230.0,363503.0,LS에코에너지,229640
2020-09-11,7270.0,하락  30,7230.0,7430.0,7210.0,255656.0,LS에코에너지,229640
2020-09-14,7380.0,상승  110,7300.0,7390.0,7250.0,196185.0,LS에코에너지,229640
